ArtistID,Main Artist,Spotify Found,Full Name,Country,Birth Date,Group Members,Found Wiki,Wiki URL,Gender,Cleaned Main Artist,US State,State ID
A31,Big Punisher,1.0,,United States,1971-11-10,1.0,1,https://en.wikipedia.org/wiki/Big_Pun,M,Big Punisher,New York,NY
A32,Master P,1.0,Percy Robert Miller,United States,1970-04-29,1.0,1,https://en.wikipedia.org/wiki/Master_P,M,Master P,Louisiana,LA
A33,Mya,1.0,Mya Marie Harrison,United States,1979-10-10,1.0,1,https://en.wikipedia.org/wiki/Mya_(singer),F,Mya,New York,NY
A34,Tyrese,1.0,Tyrese Darnell Gibson,United States,1978-12-30,1.0,1,https://en.wikipedia.org/wiki/Tyrese_Gibson,M,Tyrese,California,CA
A35,Paula Cole,1.0,,United States,1968-04-05,1.0,1,https://en.wikipedia.org/wiki/Paula_Cole,F,Paula Cole,Massachusetts,MA
A36,Third Eye Blind,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Third_Eye_Blind,,Third Eye Blind,California,CA
A37,Madonna,1.0,Madonna Louise Ciccone,United States,1958-08-16,1.0,1,https://en.wikipedia.org/wiki/Madonna,F,Madonna,Michigan,MI
A38,Janet,1.0,Janet Damita Jo Jackson,United States,1966-05-16,1.0,1,https://en.wikipedia.org/wiki/Janet_Jackson,F,Janet,Indiana,IN
A39,Fuel,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Fuel_(band),,Fuel,Pennsylvania,PA
A40,LeAnn Rimes,1.0,Margaret LeAnn Rimes,United States,1982-08-28,1.0,1,https://en.wikipedia.org/wiki/LeAnn_Rimes,F,Leann Rimes,Mississippi,MS
A41,Will Smith,1.0,Willard Carroll Smith II,United States,1968-09-25,1.0,1,https://en.wikipedia.org/wiki/Will_Smith,M,Will Smith,Pennsylvania,PA
A42,Cam'Ron,1.0,,United States,1976-02-04,1.0,1,https://en.wikipedia.org/wiki/Cam%27ron,M,Camron,New York,NY
A43,Marcy Playground,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Marcy_Playground,,Marcy Playground,New York,NY
A44,Noreaga,1.0,,United States,1977-09-06,1.0,1,https://en.wikipedia.org/wiki/N.O.R.E.,M,Noreaga,New York,NY
A45,Jagged Edge,1.0,,,,,0,,,Jagged Edge,,
A46,Rod Stewart,1.0,Roderick David Stewart,United Kingdom,1945-01-10,1.0,1,https://en.wikipedia.org/wiki/Rod_Stewart,M,Rod Stewart,,
A47,Nate Dogg,1.0,Nathaniel Dwayne Hale,United States,1969-08-19,1.0,1,https://en.wikipedia.org/wiki/Nate_Dogg,M,Nate Dogg,California,CA
A48,JD,1.0,,,,,0,,,Jd,,
A49,P.M. Dawn,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/P.M._Dawn,,Pm Dawn,New Jersey,NJ
A50,Fleetwood Mac,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/Fleetwood_Mac,,Fleetwood Mac,,
A51,Cleopatra,1.0,,United Kingdom,,3.0,1,https://en.wikipedia.org/wiki/Cleopatra_(group),,Cleopatra,,
A52,69 Boyz,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/69_Boyz,,69 Boyz,Florida,FL
A53,Gloria Estefan,1.0,,United States,1957-09-01,1.0,1,https://en.wikipedia.org/wiki/Gloria_Estefan,F,Gloria Estefan,Florida,FL
A54,Spice Girls,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/Spice_Girls,,Spice Girls,,
A55,Solo,1.0,Shawn Darnell Fonteno,United States,,1.0,1,https://en.wikipedia.org/wiki/Shawn_Fonteno,M,Solo,California,CA
A56,Mos Def,1.0,,United States,1973-12-11,1.0,1,https://en.wikipedia.org/wiki/Yasiin_Bey,M,Mos Def,New York,NY
A57,The Wilkinsons,1.0,,Canada,,1.0,1,https://en.wikipedia.org/wiki/The_Wilkinsons,M,The Wilkinsons,,
A58,Xzibit,1.0,,United States,1974-09-18,1.0,1,https://en.wikipedia.org/wiki/Xzibit,M,Xzibit,California,CA
A59,Rockell,1.0,,United States,1977-03-04,1.0,1,https://en.wikipedia.org/wiki/Rockell,F,Rockell,New York,NY
A60,Debelah Morgan,1.0,,United States,1977-09-29,1.0,1,https://en.wikipedia.org/wiki/Debelah_Morgan,F,Debelah Morgan,Michigan,MI
A61,Hannah Jones,1.0,,,,,0,,,Hannah Jones,,
A62,Stars On 54: Ultra Nate,0.0,,,,,0,,,Stars On 54 Ultra Nate,,
A63,Pure Sugar,0.0,,,,,0,,,Pure Sugar,,
A64,Queen Latifah,1.0,Dana Elaine Owens,United States,1970-03-18,1.0,1,https://en.wikipedia.org/wiki/Queen_Latifah,F,Queen Latifah,New Jersey,NJ
A65,Cypress Hill,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Cypress_Hill,,Cypress Hill,California,CA
A66,A Tribe Called Quest,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/A_Tribe_Called_Quest,,A Tribe Called Quest,New York,NY
A67,J'Son,0.0,,United States,1980-05-14,1.0,1,https://en.wikipedia.org/wiki/J%27Son_(singer),,Json,California,CA
A68,Link,1.0,,,,,0,,,Link,,
A69,DMX,1.0,Earl Simmons,United States,1970-12-18,1.0,1,https://en.wikipedia.org/wiki/DMX,M,Dmx,New York,NY
A70,Memphis Bleek,1.0,,United States,1978-06-23,1.0,1,https://en.wikipedia.org/wiki/Memphis_Bleek,M,Memphis Bleek,New York,NY
A71,Imajin,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Imajin,,Imajin,New York,NY
A72,La Bouche,1.0,,Germany,,2.0,1,https://en.wikipedia.org/wiki/La_Bouche,,La Bouche,,
A73,Swirl 360,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Swirl_360,,Swirl 360,Florida,FL
A74,Athenaeum,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Athenaeum_(band),,Athenaeum,North Carolina,NC
A75,Color Me Badd,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Color_Me_Badd,,Color Me Badd,Oklahoma,OK
A76,Funkmaster Flex,0.0,,United States,1967-08-05,1.0,1,https://en.wikipedia.org/wiki/Funkmaster_Flex,M,Funkmaster Flex,New York,NY
A77,The Smashing Pumpkins,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/The_Smashing_Pumpkins,,The Smashing Pumpkins,Illinois,IL
A78,Dixie Chicks,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/The_Chicks,,Dixie Chicks,Texas,TX
A79,Myron,1.0,,Switzerland,,,1,https://en.wikipedia.org/wiki/Myron_(duo),,Myron,,
A80,Jesse Powell,1.0,,United States,1970-09-12,1.0,1,https://en.wikipedia.org/wiki/Jesse_Powell,M,Jesse Powell,Indiana,IN
A81,Tragedy,0.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Tragedy_(band),,Tragedy,Tennessee,TN
A82,Too $hort,1.0,,United States,1966-04-28,1.0,1,https://en.wikipedia.org/wiki/Too_Short,M,Too Short,California,CA
A83,Goodie Mob,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Goodie_Mob,,Goodie Mob,Georgia,GA
A84,Tami Davis,0.0,,,,,0,,,Tami Davis,,
A85,Various Artists,1.0,,,,,0,,,Various Artists,,
A86,Lari White,1.0,,United States,1965-05-13,1.0,1,https://en.wikipedia.org/wiki/Lari_White,F,Lari White,Florida,FL
A87,Fatboy Slim,1.0,,United Kingdom,1963-07-31,1.0,1,https://en.wikipedia.org/wiki/Fatboy_Slim,M,Fatboy Slim,,
A88,Aretha Franklin,1.0,Aretha Louise Franklin,United States,1942-03-25,1.0,1,https://en.wikipedia.org/wiki/Aretha_Franklin,F,Aretha Franklin,Tennessee,TN
A89,Pearl Jam,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Pearl_Jam,,Pearl Jam,Washington,WA
A90,John Michael Montgomery,1.0,,United States,1965-01-20,1.0,1,https://en.wikipedia.org/wiki/John_Michael_Montgomery,M,John Michael Montgomery,Kentucky,KY
A91,Wyclef Jean,1.0,Nel Ust Wyclef Jean,The Carrebian,1969-10-17,1.0,1,https://en.wikipedia.org/wiki/Wyclef_Jean,M,Wyclef Jean,,
A92,Vince Gill,1.0,,United States,1957-04-12,1.0,1,https://en.wikipedia.org/wiki/Vince_Gill,M,Vince Gill,Tennessee,TN
A93,Tori Amos,1.0,,United States,1963-08-22,1.0,1,https://en.wikipedia.org/wiki/Tori_Amos,F,Tori Amos,North Carolina,NC
A94,Ricky Martin,1.0,Enrique Martin Morales,The Carrebian,1971-12-24,1.0,1,https://en.wikipedia.org/wiki/Ricky_Martin,M,Ricky Martin,,
A95,Missjones,0.0,,,,,0,,,Missjones,,
A96,Barenaked Ladies,1.0,,Canada,,4.0,1,https://en.wikipedia.org/wiki/Barenaked_Ladies,,Barenaked Ladies,,
A97,TQ,1.0,,United States,1976-05-24,1.0,1,https://en.wikipedia.org/wiki/TQ_(singer),,Tq,California,CA
A98,98 Degrees,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/98_Degrees,,98 Degrees,California,CA
A99,Deborah Cox,1.0,,Canada,1974-07-13,1.0,1,https://en.wikipedia.org/wiki/Deborah_Cox,F,Deborah Cox,,
A100,Depeche Mode,1.0,,United Kingdom,,2.0,1,https://en.wikipedia.org/wiki/Depeche_Mode,,Depeche Mode,,
A101,Nastyboy Klick,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/NB_Ridaz,,Nastyboy Klick,Arizona,AZ
A102,Jay-Z,1.0,Shawn Corey Carter,United States,1969-12-04,1.0,1,https://en.wikipedia.org/wiki/Jay-Z,M,Jayz,New York,NY
A103,Heltah Skeltah,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Heltah_Skeltah,,Heltah Skeltah,New York,NY
A104,Dru Hill,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Dru_Hill,,Dru Hill,Maryland,MD
A105,Sweetbox,1.0,,Germany,,1.0,1,https://en.wikipedia.org/wiki/Sweetbox,,Sweetbox,,
A106,En Vogue,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/En_Vogue,,En Vogue,California,CA
A107,Aaron Tippin,1.0,,United States,1958-07-03,1.0,1,https://en.wikipedia.org/wiki/Aaron_Tippin,M,Aaron Tippin,Tennessee,TN
A108,Stardust,1.0,,,,,0,,,Stardust,,
A109,Lee Ann Womack,1.0,,United States,1966-08-19,1.0,1,https://en.wikipedia.org/wiki/Lee_Ann_Womack,F,Lee Ann Womack,Texas,TX
A110,Bounty Killer,1.0,,Jamaica,1972-06-12,1.0,1,https://en.wikipedia.org/wiki/Bounty_Killer,M,Bounty Killer,,
A111,Aaron Hall,1.0,,United States,1964-08-10,1.0,1,https://en.wikipedia.org/wiki/Aaron_Hall_(singer),M,Aaron Hall,New York,NY
A112,WC,1.0,,United States,1970-02-03,1.0,1,https://en.wikipedia.org/wiki/WC_(rapper),M,Wc,California,CA
A113,Travis Tritt,1.0,,United States,1963-02-09,1.0,1,https://en.wikipedia.org/wiki/Travis_Tritt,M,Travis Tritt,Georgia,GA
A114,Cynthia,1.0,,,1968-05-06,1.0,1,https://en.wikipedia.org/wiki/Cynthia_(singer),F,Cynthia,,
A115,Xscape,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Xscape_(group),,Xscape,Georgia,GA
A116,Keith Sweat,1.0,,United States,1961-07-22,1.0,1,https://en.wikipedia.org/wiki/Keith_Sweat,M,Keith Sweat,New York,NY
A117,112,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/112_(band),,112,Georgia,GA
A118,Brand Nubian,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Brand_Nubian,,Brand Nubian,New York,NY
A119,Ice Cube,1.0,O'Shea Jackson,United States,1969-06-15,1.0,1,https://en.wikipedia.org/wiki/Ice_Cube,M,Ice Cube,California,CA
A120,Mia,1.0,,Lithuania,1983-07-19,1.0,1,https://en.wikipedia.org/wiki/Mia_(singer),F,Mia,,
A121,Andrea Martin,1.0,Andrea Louise Martin,United States,1947-01-15,1.0,1,https://en.wikipedia.org/wiki/Andrea_Martin,F,Andrea Martin,Maine,ME
A122,Mag 7,0.0,,,,,0,,,Mag 7,,
A123,Total,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Total_(group),,Total,New Jersey,NJ
A124,Mack 10,1.0,,,1971-08-09,1.0,1,https://en.wikipedia.org/wiki/Mack_10,M,Mack 10,,
A125,Willie Max,1.0,,,,,0,,,Willie Max,,
A126,BRAVO All Stars,0.0,,Germany,,1.0,1,https://en.wikipedia.org/wiki/Bravo_All_Stars,,Bravo All Stars,,
A127,L.F.O. (Lyte Funky Ones),0.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/LFO_(American_band),,Lfo,Massachusetts,MA
A128,Lauryn Hill,1.0,Lauryn Noelle Hill,United States,1975-05-26,1.0,1,https://en.wikipedia.org/wiki/Lauryn_Hill,F,Lauryn Hill,New Jersey,NJ
A129,Faith Evans,1.0,,United States,1973-06-10,1.0,1,https://en.wikipedia.org/wiki/Faith_Evans,F,Faith Evans,New Jersey,NJ
A130,R.E.M.,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/R.E.M.,,Rem,Georgia,GA
A131,A+,1.0,,United States,1981-08-29,1.0,1,https://en.wikipedia.org/wiki/A%2B_(rapper),M,A,New York,NY
A132,Britney Spears,1.0,Britney Jean Spears,United States,1981-12-02,1.0,1,https://en.wikipedia.org/wiki/Britney_Spears,F,Britney Spears,Mississippi,MS
A133,Mo Thugs Family,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Mo_Thugs,,Mo Thugs Family,Pennsylvania,PA
A134,Nicole Renee,1.0,,,,,0,,,Nicole Renee,,
A135,Collin Raye,1.0,,United States,1960-08-22,1.0,1,https://en.wikipedia.org/wiki/Collin_Raye,M,Collin Raye,Tennessee,TN
A136,Elvis Crespo,1.0,,The Carrebian,1971-07-30,1.0,1,https://en.wikipedia.org/wiki/Elvis_Crespo,M,Elvis Crespo,,
A137,Reel Tight,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Reel_Tight,,Reel Tight,Tennessee,TN
A138,Sixpence None The Richer,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Sixpence_None_the_Richer,,Sixpence None The Richer,Texas,TX
A139,Emilia,1.0,,,,,0,,,Emilia,,
A140,Lil Suzy,1.0,,United States,1979-03-01,1.0,1,https://en.wikipedia.org/wiki/Lil_Suzy,F,Lil Suzy,New York,NY
A141,R. Kelly,1.0,Robert Sylvester Kelly,United States,1967-01-08,1.0,1,https://en.wikipedia.org/wiki/R._Kelly,M,R Kelly,Illinois,IL
A142,Goo Goo Dolls,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Goo_Goo_Dolls,,Goo Goo Dolls,New York,NY
A143,Shawn Mullins,1.0,,United States,1968-03-08,1.0,1,https://en.wikipedia.org/wiki/Shawn_Mullins,M,Shawn Mullins,Georgia,GA
A144,Eagle-Eye Cherry,1.0,,Sweden,1968-05-07,1.0,1,https://en.wikipedia.org/wiki/Eagle-Eye_Cherry,M,Eagleeye Cherry,,
A145,Alanis Morissette,1.0,Alanis Nadine Morissette,Canada,1974-06-01,1.0,1,https://en.wikipedia.org/wiki/Alanis_Morissette,F,Alanis Morissette,,
A146,Aaliyah,1.0,Aaliyah Dana Haughton,United States,1979-01-16,1.0,1,https://en.wikipedia.org/wiki/Aaliyah,F,Aaliyah,New York,NY
A147,Sheryl Crow,1.0,,United States,1962-02-11,1.0,1,https://en.wikipedia.org/wiki/Sheryl_Crow,F,Sheryl Crow,Missouri,MO
A148,Jewel,1.0,Jewel Kilcher,United States,1974-05-23,1.0,1,https://en.wikipedia.org/wiki/Jewel_(singer),F,Jewel,Utah,UT
A149,Eve 6,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Eve_6,,Eve 6,California,CA
A150,Backstreet Boys,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Backstreet_Boys,,Backstreet Boys,Florida,FL
A151,matchbox 20,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Matchbox_Twenty,,Matchbox 20,Florida,FL
A152,Ty Herndon,1.0,,United States,1962-05-02,1.0,1,https://en.wikipedia.org/wiki/Ty_Herndon,M,Ty Herndon,Tennessee,TN
A153,Natalie Imbruglia,1.0,Natalie Jane Imbruglia,Australia,1975-02-04,1.0,1,https://en.wikipedia.org/wiki/Natalie_Imbruglia,F,Natalie Imbruglia,,
A154,Brooks,1.0,,Netherlands,1995-04-14,1.0,1,https://en.wikipedia.org/wiki/Brooks_(DJ),,Brooks,,
A155,George Strait,1.0,,United States,1952-05-18,1.0,1,https://en.wikipedia.org/wiki/George_Strait,M,George Strait,Texas,TX
A156,Terri Clark,1.0,,Canada,1968-08-05,1.0,1,https://en.wikipedia.org/wiki/Terri_Clark,F,Terri Clark,,
A157,Whitney Houston,1.0,Whitney Elizabeth Houston,United States,1963-08-09,1.0,1,https://en.wikipedia.org/wiki/Whitney_Houston,F,Whitney Houston,New Jersey,NJ
A158,Lenny Kravitz,1.0,Leonard Albert Kravitz,United States,1964-05-26,1.0,1,https://en.wikipedia.org/wiki/Lenny_Kravitz,M,Lenny Kravitz,New York,NY
A159,Alan Jackson,1.0,,United States,1958-10-17,1.0,1,https://en.wikipedia.org/wiki/Alan_Jackson,M,Alan Jackson,Georgia,GA
A160,Clay Walker,1.0,,United States,1969-08-19,1.0,1,https://en.wikipedia.org/wiki/Clay_Walker,M,Clay Walker,Texas,TX
A161,*NSYNC,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/NSYNC,,Nsync,Florida,FL
A162,Martina McBride,1.0,,United States,1966-07-29,1.0,1,https://en.wikipedia.org/wiki/Martina_McBride,F,Martina Mcbride,Tennessee,TN
A163,Garth Brooks,1.0,Troyal Garth Brooks,United States,1962-02-07,1.0,1,https://en.wikipedia.org/wiki/Garth_Brooks,M,Garth Brooks,Oklahoma,OK
A164,New Radicals,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/New_Radicals,,New Radicals,California,CA
A165,BlackHawk,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Blackhawk_(band),,Blackhawk,Tennessee,TN
A166,U2,1.0,,Ireland,,4.0,1,https://en.wikipedia.org/wiki/U2,,U2,,
A167,Wade Hayes,1.0,,United States,1969-04-20,1.0,1,https://en.wikipedia.org/wiki/Wade_Hayes,M,Wade Hayes,Oklahoma,OK
A168,2Pac,1.0,Lesane Parish Crooks,United States,1971-06-16,1.0,1,https://en.wikipedia.org/wiki/Tupac_Shakur,M,2Pac,New York,NY
A169,Everything,1.0,,United States,,,1,https://en.wikipedia.org/wiki/Everything_(band),,Everything,Virginia,VA
A170,BLACKstreet,1.0,,,,4.0,1,https://en.wikipedia.org/wiki/Blackstreet,,Blackstreet,,
A171,The Offspring,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/The_Offspring,,The Offspring,California,CA
A172,Mark Wills,1.0,,United States,1973-08-08,1.0,1,https://en.wikipedia.org/wiki/Mark_Wills,M,Mark Wills,Georgia,GA
A173,OutKast,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Outkast,M,Outkast,Georgia,GA
A174,Everclear,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Everclear_(band),,Everclear,Oregon,OR
A175,Tim McGraw,1.0,Samuel Timothy McGraw,United States,1967-05-01,1.0,1,https://en.wikipedia.org/wiki/Tim_McGraw,M,Tim Mcgraw,Louisiana,LA
A176,Kirk Franklin,1.0,Kirk Dewayne Franklin,United States,1970-01-26,1.0,1,https://en.wikipedia.org/wiki/Kirk_Franklin,M,Kirk Franklin,Texas,TX
A177,Alabama,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Alabama_(band),,Alabama,Alabama,AL
A178,Deana Carter,1.0,,United States,1966-01-04,1.0,1,https://en.wikipedia.org/wiki/Deana_Carter,F,Deana Carter,Tennessee,TN
A179,Randy Travis,1.0,Randy Bruce Traywick,United States,1959-05-04,1.0,1,https://en.wikipedia.org/wiki/Randy_Travis,M,Randy Travis,North Carolina,NC
A180,Hole,1.0,,United States,1989,1.0,1,https://en.wikipedia.org/wiki/Hole_(band),M,Hole,California,CA
A181,Cake,1.0,,United States,,,1,https://en.wikipedia.org/wiki/Cake_(band),,Cake,California,CA
A182,Fastball,1.0,,United States,,,1,https://en.wikipedia.org/wiki/Fastball_(band),,Fastball,Texas,TX
A183,Brian McKnight,1.0,Brian Kelly McKnight,United States,1969-06-05,1.0,1,https://en.wikipedia.org/wiki/Brian_McKnight,M,Brian Mcknight,New York,NY
A184,Timbaland,1.0,Timothy Zachery Mosley,United States,1972-03-10,1.0,1,https://en.wikipedia.org/wiki/Timbaland,M,Timbaland,Virginia,VA
A185,The Brian Setzer Orchestra,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/The_Brian_Setzer_Orchestra,,The Brian Setzer Orchestra,,
A186,Lonestar,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Lonestar,,Lonestar,Tennessee,TN
A187,Jo Dee Messina,1.0,,United States,1970-08-25,1.0,1,https://en.wikipedia.org/wiki/Jo_Dee_Messina,F,Jo Dee Messina,Massachusetts,MA
A188,Reba,1.0,,,,,0,,,Reba,,
A189,Sara Evans,1.0,Sara Lynn Evans,United States,1971-02-05,1.0,1,https://en.wikipedia.org/wiki/Sara_Evans,F,Sara Evans,Missouri,MO
A190,Mark Chesnutt,1.0,,United States,1963-09-06,1.0,1,https://en.wikipedia.org/wiki/Mark_Chesnutt,,Mark Chesnutt,Texas,TX
A191,Shaggy,1.0,Orville Richard Burrell,Jamaica,1968-10-22,1.0,1,https://en.wikipedia.org/wiki/Shaggy_(musician),M,Shaggy,,
A192,Everlast,1.0,,United States,1969-08-18,1.0,1,https://en.wikipedia.org/wiki/Everlast,M,Everlast,California,CA
A193,Diamond Rio,1.0,,United States,,6.0,1,https://en.wikipedia.org/wiki/Diamond_Rio,,Diamond Rio,Tennessee,TN
A194,Cher,1.0,Cheryl Sarkisian[a],United States,1946-05-20,1.0,1,https://en.wikipedia.org/wiki/Cher,F,Cher,California,CA
A195,Case,1.0,,United States,1971-10-04,1.0,1,https://en.wikipedia.org/wiki/Case_(singer),M,Case,New York,NY
A196,Adam Sandler,1.0,Adam Richard Sandler,United States,1966-09-09,1.0,1,https://en.wikipedia.org/wiki/Adam_Sandler,M,Adam Sandler,New York,NY
A197,Shae Jones,1.0,,United States,1972-12-26,1.0,1,https://en.wikipedia.org/wiki/Shae_Jones,F,Shae Jones,Missouri,MO
A198,Deryl Dodd,1.0,,United States,1964-04-12,1.0,1,https://en.wikipedia.org/wiki/Deryl_Dodd,,Deryl Dodd,Texas,TX
A199,Sugar Ray,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Sugar_Ray,,Sugar Ray,California,CA
A200,TLC,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/TLC_(group),,Tlc,Georgia,GA
A201,Prince,1.0,Prince Rogers Nelson,United States,1958-06-07,1.0,1,https://en.wikipedia.org/wiki/Prince_(musician),M,Prince,Minnesota,MN
A202,Boyz II Men,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Boyz_II_Men,,Boyz Ii Men,Pennsylvania,PA
