,ArtistID,Main Artist,Spotify Found,Full Name,Country,Birth Date,Group Members,Found Wiki,Wiki URL,Gender,Cleaned Main Artist,US State,State ID,nb wins,nb nominations,win rate
66,A66,A Tribe Called Quest,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/A_Tribe_Called_Quest,,A Tribe Called Quest,New York,NY,-1,0,
67,A67,J'Son,0.0,,United States,1980-05-14,1.0,1,https://en.wikipedia.org/wiki/J%27Son_(singer),,Json,California,CA,-1,0,
68,A68,Link,1.0,,,,,0,,,Link,,,-1,0,
69,A69,DMX,1.0,Earl Simmons,United States,1970-12-18,1.0,1,https://en.wikipedia.org/wiki/DMX,M,Dmx,New York,NY,0,1,0.0
70,A70,Memphis Bleek,1.0,,United States,1978-06-23,1.0,1,https://en.wikipedia.org/wiki/Memphis_Bleek,M,Memphis Bleek,New York,NY,-1,0,
71,A71,Imajin,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Imajin,,Imajin,New York,NY,-1,0,
72,A72,La Bouche,1.0,,Germany,,2.0,1,https://en.wikipedia.org/wiki/La_Bouche,,La Bouche,,,-1,0,
73,A73,Swirl 360,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Swirl_360,,Swirl 360,Florida,FL,-1,0,
74,A74,Athenaeum,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Athenaeum_(band),,Athenaeum,North Carolina,NC,-1,0,
75,A75,Color Me Badd,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Color_Me_Badd,,Color Me Badd,Oklahoma,OK,-1,0,
76,A76,Funkmaster Flex,0.0,,United States,1967-08-05,1.0,1,https://en.wikipedia.org/wiki/Funkmaster_Flex,M,Funkmaster Flex,New York,NY,-1,0,
77,A77,The Smashing Pumpkins,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/The_Smashing_Pumpkins,,The Smashing Pumpkins,Illinois,IL,-1,0,
78,A78,Dixie Chicks,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/The_Chicks,,Dixie Chicks,Texas,TX,2,2,1.0
79,A79,Myron,1.0,,Switzerland,,,1,https://en.wikipedia.org/wiki/Myron_(duo),,Myron,,,-1,0,
80,A80,Jesse Powell,1.0,,United States,1970-09-12,1.0,1,https://en.wikipedia.org/wiki/Jesse_Powell,M,Jesse Powell,Indiana,IN,-1,0,
81,A81,Tragedy,0.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Tragedy_(band),,Tragedy,Tennessee,TN,-1,0,
82,A82,Too $hort,1.0,,United States,1966-04-28,1.0,1,https://en.wikipedia.org/wiki/Too_Short,M,Too Short,California,CA,-1,0,
83,A83,Goodie Mob,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Goodie_Mob,,Goodie Mob,Georgia,GA,-1,0,
84,A84,Tami Davis,0.0,,,,,0,,,Tami Davis,,,-1,0,
85,A85,Various Artists,1.0,,,,,0,,,Various Artists,,,-1,0,
86,A86,Lari White,1.0,,United States,1965-05-13,1.0,1,https://en.wikipedia.org/wiki/Lari_White,F,Lari White,Florida,FL,-1,0,
87,A87,Fatboy Slim,1.0,,United Kingdom,1963-07-31,1.0,1,https://en.wikipedia.org/wiki/Fatboy_Slim,M,Fatboy Slim,,,-1,0,
88,A88,Aretha Franklin,1.0,Aretha Louise Franklin,United States,1942-03-25,1.0,1,https://en.wikipedia.org/wiki/Aretha_Franklin,F,Aretha Franklin,Tennessee,TN,-1,0,
89,A89,Pearl Jam,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Pearl_Jam,,Pearl Jam,Washington,WA,-1,0,
90,A90,John Michael Montgomery,1.0,,United States,1965-01-20,1.0,1,https://en.wikipedia.org/wiki/John_Michael_Montgomery,M,John Michael Montgomery,Kentucky,KY,-1,0,
91,A91,Wyclef Jean,1.0,Nel Ust Wyclef Jean,The Carrebian,1969-10-17,1.0,1,https://en.wikipedia.org/wiki/Wyclef_Jean,M,Wyclef Jean,,,-1,0,
92,A92,Vince Gill,1.0,,United States,1957-04-12,1.0,1,https://en.wikipedia.org/wiki/Vince_Gill,M,Vince Gill,Tennessee,TN,-1,0,
93,A93,Tori Amos,1.0,,United States,1963-08-22,1.0,1,https://en.wikipedia.org/wiki/Tori_Amos,F,Tori Amos,North Carolina,NC,-1,0,
94,A94,Ricky Martin,1.0,Enrique Martin Morales,The Carrebian,1971-12-24,1.0,1,https://en.wikipedia.org/wiki/Ricky_Martin,M,Ricky Martin,,,-1,0,
95,A95,Missjones,0.0,,,,,0,,,Missjones,,,-1,0,
96,A96,Barenaked Ladies,1.0,,Canada,,4.0,1,https://en.wikipedia.org/wiki/Barenaked_Ladies,,Barenaked Ladies,,,-1,0,
97,A97,TQ,1.0,,United States,1976-05-24,1.0,1,https://en.wikipedia.org/wiki/TQ_(singer),,Tq,California,CA,-1,0,
98,A98,98 Degrees,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/98_Degrees,,98 Degrees,California,CA,-1,0,
99,A99,Deborah Cox,1.0,,Canada,1974-07-13,1.0,1,https://en.wikipedia.org/wiki/Deborah_Cox,F,Deborah Cox,,,-1,0,
100,A100,Depeche Mode,1.0,,United Kingdom,,2.0,1,https://en.wikipedia.org/wiki/Depeche_Mode,,Depeche Mode,,,-1,0,
101,A101,Nastyboy Klick,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/NB_Ridaz,,Nastyboy Klick,Arizona,AZ,-1,0,
102,A102,Jay-Z,1.0,Shawn Corey Carter,United States,1969-12-04,1.0,1,https://en.wikipedia.org/wiki/Jay-Z,M,Jayz,New York,NY,3,14,0.21428571428571427
103,A103,Heltah Skeltah,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Heltah_Skeltah,,Heltah Skeltah,New York,NY,-1,0,
104,A104,Dru Hill,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Dru_Hill,,Dru Hill,Maryland,MD,-1,0,
105,A105,Sweetbox,1.0,,Germany,,1.0,1,https://en.wikipedia.org/wiki/Sweetbox,,Sweetbox,,,-1,0,
106,A106,En Vogue,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/En_Vogue,,En Vogue,California,CA,-1,0,
107,A107,Aaron Tippin,1.0,,United States,1958-07-03,1.0,1,https://en.wikipedia.org/wiki/Aaron_Tippin,M,Aaron Tippin,Tennessee,TN,-1,0,
108,A108,Stardust,1.0,,,,,0,,,Stardust,,,-1,0,
109,A109,Lee Ann Womack,1.0,,United States,1966-08-19,1.0,1,https://en.wikipedia.org/wiki/Lee_Ann_Womack,F,Lee Ann Womack,Texas,TX,0,1,0.0
110,A110,Bounty Killer,1.0,,Jamaica,1972-06-12,1.0,1,https://en.wikipedia.org/wiki/Bounty_Killer,M,Bounty Killer,,,-1,0,
111,A111,Aaron Hall,1.0,,United States,1964-08-10,1.0,1,https://en.wikipedia.org/wiki/Aaron_Hall_(singer),M,Aaron Hall,New York,NY,-1,0,
112,A112,WC,1.0,,United States,1970-02-03,1.0,1,https://en.wikipedia.org/wiki/WC_(rapper),M,Wc,California,CA,-1,0,
113,A113,Travis Tritt,1.0,,United States,1963-02-09,1.0,1,https://en.wikipedia.org/wiki/Travis_Tritt,M,Travis Tritt,Georgia,GA,-1,0,
114,A114,Cynthia,1.0,,,1968-05-06,1.0,1,https://en.wikipedia.org/wiki/Cynthia_(singer),F,Cynthia,,,-1,0,
115,A115,Xscape,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Xscape_(group),,Xscape,Georgia,GA,-1,0,
116,A116,Keith Sweat,1.0,,United States,1961-07-22,1.0,1,https://en.wikipedia.org/wiki/Keith_Sweat,M,Keith Sweat,New York,NY,-1,0,
117,A117,112,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/112_(band),,112,Georgia,GA,-1,0,
118,A118,Brand Nubian,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Brand_Nubian,,Brand Nubian,New York,NY,-1,0,
119,A119,Ice Cube,1.0,O'Shea Jackson,United States,1969-06-15,1.0,1,https://en.wikipedia.org/wiki/Ice_Cube,M,Ice Cube,California,CA,-1,0,
120,A120,Mia,1.0,,Lithuania,1983-07-19,1.0,1,https://en.wikipedia.org/wiki/Mia_(singer),F,Mia,,,-1,0,
121,A121,Andrea Martin,1.0,Andrea Louise Martin,United States,1947-01-15,1.0,1,https://en.wikipedia.org/wiki/Andrea_Martin,F,Andrea Martin,Maine,ME,-1,0,
122,A122,Mag 7,0.0,,,,,0,,,Mag 7,,,-1,0,
123,A123,Total,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Total_(group),,Total,New Jersey,NJ,-1,0,
124,A124,Mack 10,1.0,,,1971-08-09,1.0,1,https://en.wikipedia.org/wiki/Mack_10,M,Mack 10,,,-1,0,
125,A125,Willie Max,1.0,,,,,0,,,Willie Max,,,-1,0,
126,A126,BRAVO All Stars,0.0,,Germany,,1.0,1,https://en.wikipedia.org/wiki/Bravo_All_Stars,,Bravo All Stars,,,-1,0,
127,A127,L.F.O. (Lyte Funky Ones),0.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/LFO_(American_band),,Lfo,Massachusetts,MA,-1,0,
128,A128,Lauryn Hill,1.0,Lauryn Noelle Hill,United States,1975-05-26,1.0,1,https://en.wikipedia.org/wiki/Lauryn_Hill,F,Lauryn Hill,New Jersey,NJ,-1,0,
129,A129,Faith Evans,1.0,,United States,1973-06-10,1.0,1,https://en.wikipedia.org/wiki/Faith_Evans,F,Faith Evans,New Jersey,NJ,-1,0,
130,A130,R.E.M.,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/R.E.M.,,Rem,Georgia,GA,-1,0,
131,A131,A+,1.0,,United States,1981-08-29,1.0,1,https://en.wikipedia.org/wiki/A%2B_(rapper),M,A,New York,NY,-1,0,
132,A132,Britney Spears,1.0,Britney Jean Spears,United States,1981-12-02,1.0,1,https://en.wikipedia.org/wiki/Britney_Spears,F,Britney Spears,Mississippi,MS,-1,0,
133,A133,Mo Thugs Family,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Mo_Thugs,,Mo Thugs Family,Pennsylvania,PA,-1,0,
134,A134,Nicole Renee,1.0,,,,,0,,,Nicole Renee,,,-1,0,
135,A135,Collin Raye,1.0,,United States,1960-08-22,1.0,1,https://en.wikipedia.org/wiki/Collin_Raye,M,Collin Raye,Tennessee,TN,-1,0,
136,A136,Elvis Crespo,1.0,,The Carrebian,1971-07-30,1.0,1,https://en.wikipedia.org/wiki/Elvis_Crespo,M,Elvis Crespo,,,-1,0,
137,A137,Reel Tight,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Reel_Tight,,Reel Tight,Tennessee,TN,-1,0,
138,A138,Sixpence None The Richer,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Sixpence_None_the_Richer,,Sixpence None The Richer,Texas,TX,-1,0,
139,A139,Emilia,1.0,,,,,0,,,Emilia,,,-1,0,
140,A140,Lil Suzy,1.0,,United States,1979-03-01,1.0,1,https://en.wikipedia.org/wiki/Lil_Suzy,F,Lil Suzy,New York,NY,-1,0,
141,A141,R. Kelly,1.0,Robert Sylvester Kelly,United States,1967-01-08,1.0,1,https://en.wikipedia.org/wiki/R._Kelly,M,R Kelly,Illinois,IL,-1,0,
142,A142,Goo Goo Dolls,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Goo_Goo_Dolls,,Goo Goo Dolls,New York,NY,-1,0,
143,A143,Shawn Mullins,1.0,,United States,1968-03-08,1.0,1,https://en.wikipedia.org/wiki/Shawn_Mullins,M,Shawn Mullins,Georgia,GA,-1,0,
144,A144,Eagle-Eye Cherry,1.0,,Sweden,1968-05-07,1.0,1,https://en.wikipedia.org/wiki/Eagle-Eye_Cherry,M,Eagleeye Cherry,,,-1,0,
145,A145,Alanis Morissette,1.0,Alanis Nadine Morissette,Canada,1974-06-01,1.0,1,https://en.wikipedia.org/wiki/Alanis_Morissette,F,Alanis Morissette,,,-1,0,
146,A146,Aaliyah,1.0,Aaliyah Dana Haughton,United States,1979-01-16,1.0,1,https://en.wikipedia.org/wiki/Aaliyah,F,Aaliyah,New York,NY,-1,0,
147,A147,Sheryl Crow,1.0,,United States,1962-02-11,1.0,1,https://en.wikipedia.org/wiki/Sheryl_Crow,F,Sheryl Crow,Missouri,MO,-1,0,
148,A148,Jewel,1.0,Jewel Kilcher,United States,1974-05-23,1.0,1,https://en.wikipedia.org/wiki/Jewel_(singer),F,Jewel,Utah,UT,-1,0,
149,A149,Eve 6,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Eve_6,,Eve 6,California,CA,-1,0,
150,A150,Backstreet Boys,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Backstreet_Boys,,Backstreet Boys,Florida,FL,-1,0,
151,A151,matchbox 20,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Matchbox_Twenty,,Matchbox 20,Florida,FL,-1,0,
152,A152,Ty Herndon,1.0,,United States,1962-05-02,1.0,1,https://en.wikipedia.org/wiki/Ty_Herndon,M,Ty Herndon,Tennessee,TN,-1,0,
153,A153,Natalie Imbruglia,1.0,Natalie Jane Imbruglia,Australia,1975-02-04,1.0,1,https://en.wikipedia.org/wiki/Natalie_Imbruglia,F,Natalie Imbruglia,,,-1,0,
154,A154,Brooks,1.0,,Netherlands,1995-04-14,1.0,1,https://en.wikipedia.org/wiki/Brooks_(DJ),,Brooks,,,-1,0,
155,A155,George Strait,1.0,,United States,1952-05-18,1.0,1,https://en.wikipedia.org/wiki/George_Strait,M,George Strait,Texas,TX,-1,0,
156,A156,Terri Clark,1.0,,Canada,1968-08-05,1.0,1,https://en.wikipedia.org/wiki/Terri_Clark,F,Terri Clark,,,-1,0,
157,A157,Whitney Houston,1.0,Whitney Elizabeth Houston,United States,1963-08-09,1.0,1,https://en.wikipedia.org/wiki/Whitney_Houston,F,Whitney Houston,New Jersey,NJ,-1,0,
158,A158,Lenny Kravitz,1.0,Leonard Albert Kravitz,United States,1964-05-26,1.0,1,https://en.wikipedia.org/wiki/Lenny_Kravitz,M,Lenny Kravitz,New York,NY,-1,0,
159,A159,Alan Jackson,1.0,,United States,1958-10-17,1.0,1,https://en.wikipedia.org/wiki/Alan_Jackson,M,Alan Jackson,Georgia,GA,0,1,0.0
160,A160,Clay Walker,1.0,,United States,1969-08-19,1.0,1,https://en.wikipedia.org/wiki/Clay_Walker,M,Clay Walker,Texas,TX,-1,0,
161,A161,*NSYNC,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/NSYNC,,Nsync,Florida,FL,0,1,0.0
162,A162,Martina McBride,1.0,,United States,1966-07-29,1.0,1,https://en.wikipedia.org/wiki/Martina_McBride,F,Martina Mcbride,Tennessee,TN,-1,0,
163,A163,Garth Brooks,1.0,Troyal Garth Brooks,United States,1962-02-07,1.0,1,https://en.wikipedia.org/wiki/Garth_Brooks,M,Garth Brooks,Oklahoma,OK,-1,0,
164,A164,New Radicals,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/New_Radicals,,New Radicals,California,CA,-1,0,
165,A165,BlackHawk,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Blackhawk_(band),,Blackhawk,Tennessee,TN,-1,0,
166,A166,U2,1.0,,Ireland,,4.0,1,https://en.wikipedia.org/wiki/U2,,U2,,,4,5,0.8
167,A167,Wade Hayes,1.0,,United States,1969-04-20,1.0,1,https://en.wikipedia.org/wiki/Wade_Hayes,M,Wade Hayes,Oklahoma,OK,-1,0,
168,A168,2Pac,1.0,Lesane Parish Crooks,United States,1971-06-16,1.0,1,https://en.wikipedia.org/wiki/Tupac_Shakur,M,2Pac,New York,NY,-1,0,
169,A169,Everything,1.0,,United States,,,1,https://en.wikipedia.org/wiki/Everything_(band),,Everything,Virginia,VA,-1,0,
170,A170,BLACKstreet,1.0,,,,4.0,1,https://en.wikipedia.org/wiki/Blackstreet,,Blackstreet,,,-1,0,
171,A171,The Offspring,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/The_Offspring,,The Offspring,California,CA,-1,0,
172,A172,Mark Wills,1.0,,United States,1973-08-08,1.0,1,https://en.wikipedia.org/wiki/Mark_Wills,M,Mark Wills,Georgia,GA,-1,0,
173,A173,OutKast,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Outkast,M,Outkast,Georgia,GA,0,2,0.0
174,A174,Everclear,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Everclear_(band),,Everclear,Oregon,OR,-1,0,
175,A175,Tim McGraw,1.0,Samuel Timothy McGraw,United States,1967-05-01,1.0,1,https://en.wikipedia.org/wiki/Tim_McGraw,M,Tim Mcgraw,Louisiana,LA,0,1,0.0
176,A176,Kirk Franklin,1.0,Kirk Dewayne Franklin,United States,1970-01-26,1.0,1,https://en.wikipedia.org/wiki/Kirk_Franklin,M,Kirk Franklin,Texas,TX,-1,0,
177,A177,Alabama,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/Alabama_(band),,Alabama,Alabama,AL,-1,0,
178,A178,Deana Carter,1.0,,United States,1966-01-04,1.0,1,https://en.wikipedia.org/wiki/Deana_Carter,F,Deana Carter,Tennessee,TN,-1,0,
179,A179,Randy Travis,1.0,Randy Bruce Traywick,United States,1959-05-04,1.0,1,https://en.wikipedia.org/wiki/Randy_Travis,M,Randy Travis,North Carolina,NC,-1,0,
180,A180,Hole,1.0,,United States,1989,1.0,1,https://en.wikipedia.org/wiki/Hole_(band),M,Hole,California,CA,-1,0,
181,A181,Cake,1.0,,United States,,,1,https://en.wikipedia.org/wiki/Cake_(band),,Cake,California,CA,-1,0,
